TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
9	15	-1	17		0	finished
9	19	-1	61		0	finished
9	0	4	53		1	running
9	4	-1	46		0	finished
9	11	-1	26		0	finished
9	3	7	58		3	running
9	1	-1	29		0	finished
9	8	-1	46		0	finished
9	12	1	34		4	running
9	13	0	25		3	running
9	17	2	21		6	ready
9	18	6	28		6	ready
9	5	5	17		7	ready
9	2	-1	61		8	waiting
9	7	8	45		8	ready
9	10	-1	43		9	waiting
9	14	-1	61		9	waiting
9	16	-1	40		9	waiting
Wasted Space: 102 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
10	6	-1	39		0	finished
10	9	-1	62		0	finished
10	15	-1	17		0	finished
10	19	-1	61		0	finished
10	0	-1	53		0	finished
10	4	-1	46		0	finished
10	11	-1	26		0	finished
10	3	7	58		2	running
10	1	-1	29		0	finished
10	8	-1	46		0	finished
10	12	1	34		3	running
10	13	0	25		2	running
10	17	2	21		5	running
10	18	6	28		6	ready
10	5	5	17		7	ready
10	2	-1	61		8	waiting
10	7	8	45		8	ready
10	10	-1	43		9	waiting
10	14	-1	61		9	waiting
10	16	-1	40		9	waiting
Wasted Space: 155 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
11	6	-1	39		0	finished
11	9	-1	62		0	finished
11	15	-1	17		0	finished
11	19	-1	61		0	finished
11	0	-1	53		0	finished
11	4	-1	46		0	finished
11	11	-1	26		0	finished
11	3	7	58		1	running
11	1	-1	29		0	finished
11	8	-1	46		0	finished
11	12	1	34		2	running
11	13	0	25		1	running
11	17	2	21		4	running
11	18	6	28		6	ready
11	5	5	17		7	ready
11	2	-1	61		8	waiting
11	7	8	45		8	ready
11	10	-1	43		9	waiting
11	14	-1	61		9	waiting
11	16	-1	40		9	waiting
Wasted Space: 155 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
12	6	-1	39		0	finished
12	9	-1	62		0	finished
12	15	-1	17		0	finished
12	19	-1	61		0	finished
12	0	-1	53		0	finished
12	4	-1	46		0	finished
12	11	-1	26		0	finished
12	3	-1	58		0	finished
12	1	-1	29		0	finished
12	8	-1	46		0	finished
12	12	1	34		1	running
12	13	-1	25		0	finished
12	17	2	21		3	running
12	18	6	28		5	running
12	5	5	17		6	running
12	2	-1	61		8	waiting
12	7	8	45		8	ready
12	10	-1	43		9	waiting
12	14	-1	61		9	waiting
12	16	-1	40		9	waiting
Wasted Space: 238 MB
Jobs Waiting: 4

TIME	ID	SEGMENT	MEM REQ	TIME REMAINING	MESSAGES
13	6	-1	39		0	finished
13	9	-1	62		0	finished
13	15	-1	17		0	finished
13	19	-1	61		0	finished
13	0	-1	53		0	finished
13	4	-1	46		0	finished
13	11	-1	26		0	finished
13	3	-1	58		0	finished
13	1	-1	29		0	finished
13	8	-1	46		0	finished
13	12	-1	34		0	finished
13	13	-1	25		0	finished
13	17	2	21		2	running
13	18	6	28		4	running
13	5	5	17		5	running
13	2	-1	61		8	waiting
13	7	8	45		7	running
