TIME	ID	SEGMENT	MEM REQUEST	TIME REMAINING	MESSAGES
5	8	-1	53	7	waiting
5	9	-1	63	4	waiting
5	10	-1	22	6	waiting
5	11	-1	44	8	waiting
5	12	-1	28	5	waiting
5	13	-1	51	7	waiting
5	14	-1	18	4	waiting
5	15	-1	62	9	waiting
5	16	-1	54	3	waiting
5	17	-1	22	4	waiting
5	18	-1	21	6	waiting
5	19	-1	38	7	waiting
Wasted Space: 96 MB
Jobs Waiting: 13

6	0	2	21	-3	running
6	1	9	27	3	running
6	2	4	48	2	running
6	3	7	54	3	running
6	4	5	42	1	running
6	5	8	47	3	running
6	6	6	25	6	running
6	7	-1	45	7	waiting
6	8	-1	53	7	waiting
6	9	-1	63	4	waiting
6	10	-1	22	6	waiting
6	11	-1	44	8	waiting
6	12	-1	28	5	waiting
6	13	-1	51	7	waiting
6	14	-1	18	4	waiting
6	15	-1	62	9	waiting
6	16	-1	54	3	waiting
6	17	-1	22	4	waiting
6	18	-1	21	6	waiting
6	19	-1	38	7	waiting
Wasted Space: 96 MB
Jobs Waiting: 13

6	0	2	21	-3	running
6	1	9	27	3	running
6	2	4	48	2	running
6	3	7	54	3	running
6	4	5	42	1	running
6	5	8	47	3	running
6	6	6	25	6	running
6	7	-1	45	7	waiting
6	8	-1	53	7	waiting
6	9	-1	63	4	waiting
6	10	-1	22	6	waiting
6	11	-1	44	8	waiting
6	12	-1	28	5	waiting
6	13	-1	51	7	waiting
6	14	-1	18	4	waiting
6	15	-1	62	9	waiting
6	16	-1	54	3	waiting
6	17	-1	22	4	waiting
6	18	-1	21	6	waiting
6	19	-1	38	7	waiting
Wasted Space: 96 MB
Jobs Waiting: 13

7	0	2	21	-4	running
7	1	9	27	2	running
7	2	4	48	1	running
7	3	7	54	3	running
7	4	5	42	1	running
7	5	8	47	3	running
7	6	6	25	5	running
7	7	-1	45	7	waiting
7	8	-1	53	7	waiting
7	9	-1	63	4	waiting
7	10	-1	22	6	waiting
7	11	-1	44	8	waiting
7	12	-1	28	5	waiting
7	13	-1	51	7	waiting
7	14	-1	18	4	waiting
7	15	-1	62	9	waiting
7	16	-1	54	3	waiting
7	17	-1	22	4	waiting
7	18	-1	21	6	waiting
7	19	-1	38	7	waiting
Wasted Space: 96 MB
Jobs Waiting: 13

7	0	2	21	-4	running
7	1	9	27	2	running
7	2	4	48	1	running
7	3	7	54	3	running
7	4	5	42	1	running
7	5	8	47	3	running
7	6	6	25	5	running
7	7	-1	45	7	waiting
7	8	-1	53	7	waiting
7	9	-1	63	4	waiting
7	10	-1	22	6	waiting
7	11	-1	44	8	waiting
7	12	-1	28	5	waiting
7	13	-1	51	7	waiting
7	14	-1	18	4	waiting
7	15	-1	62	9	waiting
7	16	-1	54	3	waiting
7	17	-1	22	4	waiting
7	18	-1	21	6	waiting
7	19	-1	38	7	waiting
Wasted Space: 96 MB
Jobs Waiting: 13

8	0	2	21	-5	running
8	1	9	27	2	running
8	2	4	48	0	finished
8	3	7	54	2	running
8	4	5	42	1	running
8	5	8	47	2	running
8	6	6	25	5	running
8	7	-1	45	7	waiting
8	8	-1	53	7	waiting
8	9	-1	63	4	waiting
8	10	-1	22	6	waiting
8	11	-1	44	8	waiting
8	12	-1	28	5	waiting
8	13	-1	51	7	waiting
8	14	-1	18	4	waiting
8	15	-1	62	9	waiting
8	16	-1	54	3	waiting
8	17	-1	22	4	waiting
8	18	-1	21	6	waiting
8	19	-1	38	7	waiting
Wasted Space: 144 MB
Jobs Waiting: 13

8	0	4	21	-5	running
8	1	9	27	2	running
8	2	4	48	0	finished
8	3	7	54	2	running
8	4	5	42	1	running
8	5	8	47	2	running
8	6	6	25	5	running
8	7	-1	45	7	waiting
8	8	-1	53	7	waiting
8	9	-1	63	4	waiting
8	10	-1	22	6	waiting
8	11	-1	44	8	waiting
8	12	-1	28	5	waiting
8	13	-1	51	7	waiting
8	14	-1	18	4	waiting
8	15	-1	62	9	waiting
8	16	-1	54	3	waiting
8	17	-1	22	4	waiting
8	18	-1	21	6	waiting
8	19	-1	38	7	waiting
Wasted Space: 123 MB
Jobs Waiting: 13

9	0	4	21	-7	running
9	1	9	27	1	running
9	2	4	48	0	finished
9	3	7	54	2	running
9	4	5	42	1	running
9	5	8	47	1	running
9	6	6	25	5	running
9	7	-1	45	7	waiting
9	8	-1	53	7	waiting
9	9	-1	63	4	waiting
9	10	-1	22	6	waiting
9	11	-1	44	8	waiting
9	12	-1	28	5	waiting
9	13	-1	51	7	waiting
9	14	-1	18	4	waiting
9	15	-1	62	9	waiting
9	16	-1	54	3	waiting
9	17	-1	22	4	waiting
9	18	-1	21	6	waiting
9	19	-1	38	7	waiting
Wasted Space: 123 MB
Jobs Waiting: 13

9	0	4	21	-7	running
9	1	9	27	1	running
9	2	4	48	0	finished
9	3	7	54	2	running
9	4	5	42	1	running
9	5	8	47	1	running
9	6	6	25	5	running
9	7	-1	45	7	waiting
9	8	-1	53	7	waiting
9	9	-1	63	4	waiting
9	10	-1	22	6	waiting
9	11	-1	44	8	waiting
9	12	-1	28	5	waiting
9	13	-1	51	7	waiting
9	14	-1	18	4	waiting
9	15	-1	62	9	waiting
9	16	-1	54	3	waiting
9	17	-1	22	4	waiting
9	18	-1	21	6	waiting
9	19	-1	38	7	waiting
Wasted Space: 123 MB
Jobs Waiting: 13

10	0	4	21	-8	running
10	1	9	27	1	running
10	2	4	48	0	finished
10	3	7	54	2	running
10	4	5	42	0	finished
10	5	8	47	0	finished
10	6	6	25	4	running
10	7	-1	45	7	waiting
10	8	-1	53	7	waiting
10	9	-1	63	4	waiting
10	10	-1	22	6	waiting
10	11	-1	44	8	waiting
10	12	-1	28	5	waiting
10	13	-1	51	7	waiting
10	14	-1	18	4	waiting
10	15	-1	62	9	waiting
10	16	-1	54	3	waiting
10	17	-1	22	4	waiting
10	18	-1	21	6	waiting
10	19	-1	38	7	waiting
Wasted Space: 212 MB
Jobs Waiting: 13

10	0	5	21	-8	running
10	1	8	27	1	running
10	2	4	48	0	finished
10	3	7	54	2	running
10	4	5	42	0	finished
10	5	8	47	0	finished
10	6	6	25	4	running
10	7	-1	45	7	waiting
10	8	-1	53	7	waiting
10	9	-1	63	4	waiting
10	10	-1	22	6	waiting
10	11	-1	44	8	waiting
10	12	-1	28	5	waiting
10	13	-1	51	7	waiting
10	14	-1	18	4	waiting
10	15	-1	62	9	waiting
10	16	-1	54	3	waiting
10	17	-1	22	4	waiting
10	18	-1	21	6	waiting
10	19	-1	38	7	waiting
Wasted Space: 164 MB
Jobs Waiting: 13

11	0	5	21	-10	running
11	1	8	27	0	finished
11	2	4	48	0	finished
11	3	7	54	2	running
11	4	5	42	0	finished
11	5	8	47	0	finished
11	6	6	25	3	running
11	7	-1	45	7	waiting
11	8	-1	53	7	waiting
11	9	-1	63	4	waiting
11	10	-1	22	6	waiting
11	11	-1	44	8	waiting
11	12	-1	28	5	waiting
11	13	-1	51	7	waiting
11	14	-1	18	4	waiting
11	15	-1	62	9	waiting
11	16	-1	54	3	waiting
11	17	-1	22	4	waiting
11	18	-1	21	6	waiting
11	19	-1	38	7	waiting
Wasted Space: 191 MB
Jobs Waiting: 13

11	0	9	21	-10	running
11	1	8	27	0	finished
11	2	4	48	0	finished
11	3	7	54	2	running
11	4	5	42	0	finished
11	5	8	47	0	finished
11	6	6	25	3	running
11	7	-1	45	7	waiting
11	8	-1	53	7	waiting
11	9	-1	63	4	waiting
11	10	-1	22	6	waiting
11	11	-1	44	8	waiting
11	12	-1	28	5	waiting
11	13	-1	51	7	waiting
11	14	-1	18	4	waiting
11	15	-1	62	9	waiting
11	16	-1	54	3	waiting
11	17	-1	22	4	waiting
11	18	-1	21	6	waiting
11	19	-1	38	7	waiting
Wasted Space: 170 MB
Jobs Waiting: 13

12	0	9	21	-13	running
12	1	8	27	0	finished
12	2	4	48	0	finished
12	3	7	54	2	running
12	4	5	42	0	finished
12	5	8	47	0	finished
12	6	6	25	2	running
12	7	-1	45	7	waiting
12	8	-1	53	7	waiting
12	9	-1	63	4	waiting
12	10	-1	22	6	waiting
12	11	-1	44	8	waiting
12	12	-1	28	5	waiting
12	13	-1	51	7	waiting
12	14	-1	18	4	waiting
12	15	-1	62	9	waiting
12	16	-1	54	3	waiting
12	17	-1	22	4	waiting
12	18	-1	21	6	waiting
12	19	-1	38	7	waiting
Wasted Space: 170 MB
Jobs Waiting: 13

12	0	9	21	-13	running
12	1	8	27	0	finished
12	2	4	48	0	finished
12	3	7	54	2	running
12	4	5	42	0	finished
12	5	8	47	0	finished
12	6	6	25	2	running
12	7	-1	45	7	waiting
12	8	-1	53	7	waiting
12	9	-1	63	4	waiting
12	10	-1	22	6	waiting
12	11	-1	44	8	waiting
12	12	-1	28	5	waiting
12	13	-1	51	7	waiting
12	14	-1	18	4	waiting
12	15	-1	62	9	waiting
12	16	-1	54	3	waiting
12	17	-1	22	4	waiting
12	18	-1	21	6	waiting
12	19	-1	38	7	waiting
Wasted Space: 170 MB
Jobs Waiting: 13

13	0	9	21	-15	running
13	1	8	27	-2	running
13	2	4	48	0	finished
13	3	7	54	2	running
13	4	5	42	0	finished
13	5	8	47	0	finished
13	6	6	25	2	running
13	7	-1	45	7	waiting
13	8	-1	53	7	waiting
13	9	-1	63	4	waiting
13	10	-1	22	6	waiting
13	11	-1	44	8	waiting
13	12	-1	28	5	waiting
13	13	-1	51	7	waiting
13	14	-1	18	4	waiting
13	15	-1	62	9	waiting
13	16	-1	54	3	waiting
13	17	-1	22	4	waiting
13	18	-1	21	6	waiting
13	19	-1	38	7	waiting
Wasted Space: 170 MB
Jobs Waiting: 13

13	0	9	21	-15	running
13	1	8	27	-2	running
13	2	4	48	0	finished
13	3	7	54	2	running
13	4	5	42	0	finished
13	5	8	47	0	finished
